E,p,val,val_shared
0.0,0.0,1.8747569028084101,1.8747531898355068
0.0,0.1111111111111111,1.8359465075830452,1.8348907676999153
0.0,0.2222222222222222,1.820931616878138,1.8192147853316885
0.0,0.3333333333333333,1.8094587463979233,1.808490017642643
0.0,0.4444444444444444,1.8036813624334864,1.8032477248503143
0.0,0.5,1.801342041837879,1.8012670982096646
0.0,0.5555555555555556,1.8036808361222445,1.803247590041956
0.0,0.6666666666666666,1.8094652873857582,1.8084849780823802
0.0,0.7777777777777777,1.8209230095482154,1.819208527353269
0.0,0.8888888888888888,1.8359481077917217,1.8348899256930198
0.0,1.0,1.8747600420449195,1.8747600420449195
0.0125,0.0,1.8370575440836827,1.83703196690673
0.0125,0.1111111111111111,1.8114081786054543,1.8102407049185527
0.0125,0.2222222222222222,1.8001309456147414,1.7986401481841339
0.0125,0.3333333333333333,1.792129768452699,1.7909493172451278
0.0125,0.4444444444444444,1.7880651348917334,1.7874228801163974
0.0125,0.5,1.7863170177156373,1.7863170177156373
0.0125,0.5555555555555556,1.7880651348752594,1.7874228801205367
0.0125,0.6666666666666666,1.7921297683688246,1.7909493172563749
0.0125,0.7777777777777777,1.8001309456122676,1.7986401482327459
0.0125,0.8888888888888888,1.8114081743390373,1.8102407049029803
0.0125,1.0,1.8370575433891,1.837031966906177
0.025,0.0,1.8218885971956826,1.8218885971956826
0.025,0.1111111111111111,1.8008913405923255,1.7990943531744694
0.025,0.2222222222222222,1.7906476345877516,1.7898662842895752
0.025,0.3333333333333333,1.7840074159096528,1.783374167556721
0.025,0.4444444444444444,1.7806932443657681,1.7801990086841597
0.025,0.5,1.7791219168193972,1.7789467978531783
0.025,0.5555555555555556,1.7806932443636023,1.7801990086485504
0.025,0.6666666666666666,1.7840074159174268,1.7833741675235406
0.025,0.7777777777777777,1.7906476346099232,1.7898662842906077
0.025,0.8888888888888888,1.8008913405906757,1.7990943531734793
0.025,1.0,1.821888597194682,1.821888597194682
0.05555555555555555,0.0,1.7975522004120044,1.7974703787720285
0.05555555555555555,0.1111111111111111,1.7813061047683592,1.7794850310672237
0.05555555555555555,0.2222222222222222,1.773736941280876,1.7715585467531587
0.05555555555555555,0.3333333333333333,1.7697911696566027,1.7685785008898252
0.05555555555555555,0.4444444444444444,1.766811471660765,1.766811471660765
0.05555555555555555,0.5,1.7662508022031291,1.7662478937654018
0.05555555555555555,0.5555555555555556,1.7668114716465186,1.7668114716465186
0.05555555555555555,0.6666666666666666,1.769791169660197,1.768578500891803
0.05555555555555555,0.7777777777777777,1.7737369412811081,1.7715585467553097
0.05555555555555555,0.8888888888888888,1.7813061047755885,1.779485031057542
0.05555555555555555,1.0,1.7975522003900641,1.7974703787641337
0.1111111111111111,0.0,1.7685287258737978,1.7682505195700573
0.1111111111111111,0.1111111111111111,1.7571176501619308,1.7540647947648
0.1111111111111111,0.2222222222222222,1.7508454984025024,1.7479331059793486
0.1111111111111111,0.3333333333333333,1.7477240300668049,1.7462889569356594
0.1111111111111111,0.4444444444444444,1.746588399853058,1.7461183051256315
0.1111111111111111,0.5,1.746164119793554,1.7459566695456146
0.1111111111111111,0.5555555555555556,1.7465883998077762,1.7461183051281917
0.1111111111111111,0.6666666666666666,1.7477240300670402,1.7462889569397961
0.1111111111111111,0.7777777777777777,1.7508454984024528,1.7479331059831633
0.1111111111111111,0.8888888888888888,1.75711765016185,1.7540647947656214
0.1111111111111111,1.0,1.768528726520803,1.768250519570562
0.16666666666666666,0.0,1.7466815907501707,1.7466815907501707
0.16666666666666666,0.1111111111111111,1.7384887331373315,1.7373443311229804
0.16666666666666666,0.2222222222222222,1.7334774635939392,1.7326115515761806
0.16666666666666666,0.3333333333333333,1.7310071738146255,1.7310071738146255
0.16666666666666666,0.4444444444444444,1.7300967930245614,1.7300967930245614
0.16666666666666666,0.5,1.7288850194533445,1.7288850194533445
0.16666666666666666,0.5555555555555556,1.7300967930265607,1.7300967930265607
0.16666666666666666,0.6666666666666666,1.7310071738155557,1.7310071738155557
0.16666666666666666,0.7777777777777777,1.7334774639604362,1.7326115515750427
0.16666666666666666,0.8888888888888888,1.7384887331227057,1.7373443309299923
0.16666666666666666,1.0,1.7466815907165247,1.7466815907165247
0.2222222222222222,0.0,1.7292801697526252,1.7292801697526252
0.2222222222222222,0.1111111111111111,1.7245434486269278,1.7200296164908004
0.2222222222222222,0.2222222222222222,1.7202994038561272,1.716420471027229
0.2222222222222222,0.3333333333333333,1.7185100838577427,1.7155439055501254
0.2222222222222222,0.4444444444444444,1.7181559958244927,1.715366442124754
0.2222222222222222,0.5,1.7149407907805987,1.7148667379241966
0.2222222222222222,0.5555555555555556,1.718155995961696,1.7153664421240444
0.2222222222222222,0.6666666666666666,1.7185100838580727,1.7155439042393834
0.2222222222222222,0.7777777777777777,1.720299403856146,1.716420471034343
0.2222222222222222,0.8888888888888888,1.7245434489105937,1.720029616490602
0.2222222222222222,1.0,1.7292801697913904,1.7292801697913904
0.2777777777777778,0.0,1.7148905447322853,1.7148905447322853
0.2777777777777778,0.1111111111111111,1.7095565943308384,1.7092111299666553
0.2777777777777778,0.2222222222222222,1.706334411500932,1.706334411500932
0.2777777777777778,0.3333333333333333,1.7048458308530725,1.7048458308530725
0.2777777777777778,0.4444444444444444,1.7042475406351887,1.7042475406351887
0.2777777777777778,0.5,1.703209790131794,1.703209790131794
0.2777777777777778,0.5555555555555556,1.704247540652014,1.704247540652014
0.2777777777777778,0.6666666666666666,1.7048458308550767,1.7048458308550767
