E,val,van_trees
1e-05,99986.82149043902,0.24999937451714177
1e-05,99986.82149043902,0.24999937451714177
0.02223111111111111,22.621854506146157,0.24742033408182484
0.044452222222222226,11.378308216913966,0.24491147453831844
0.06667333333333333,7.630126819270044,0.24247117799498422
0.08889444444444444,5.758617472819204,0.24008592961415837
0.11111555555555555,4.63566943447141,0.2377906549368074
0.11112,4.635610207913743,0.23779029390393344
0.1333366666666667,3.8890543624466503,0.23554886532262176
0.1555577777777778,3.356006025812618,0.23337049675979518
0.1777788888888889,2.95695604121854,0.23125564409280094
0.2,2.647244905154903,0.22920308420825325
0.22223,2.400571004701226,0.22721084205368616
0.33334,1.668434798333015,0.21817017194090776
0.44445,1.317111111581409,0.21066761301067777
0.5555599999999999,1.1249747041367208,0.20481686931371001
0.66667,1.024516719310595,0.20102917179772165
0.7777799999999999,0.999936603251801,0.2000000231378196
0.88889,0.9998524761421093,0.1999741280484021
1.0,0.99989694139122,0.19998254362565654
